## Pediatric RMS clinical trials drug map (auto-generated; do NOT hand-edit)
## Source: https://clinicaltrials.gov/api/v2/studies
## Condition query: rhabdomyosarcoma
## Generated: 2026-04-25 23:25 UTC
## Studies scanned: 374
## Drug rows: 310
## Schema: drug\tn_rms_trials\tmax_phase_in_rms\tany_recruiting\tany_pediatric\texample_nct\texample_title
##
## Phase 4 reads this file (when present) and upgrades pediatric_evidence to
## 'yes_trial' for any drug appearing here with any_pediatric=1, unless its
## existing pediatric_evidence is already 'yes_approved' (which outranks).
## To regenerate: bin/fetch_clinicaltrials.py
drug	n_rms_trials	max_phase_in_rms	any_recruiting	any_pediatric	example_nct	example_title
cd3-depleted/cd56+ selected natural killer cells collected from apheresis products	1	PHASE2	0	1	NCT01386619	NK DLI in Patients After Human Leukocyte Antigen (HLA)-Haploidentical Hematopoietic Stem Cell Transplantation (HSCT)
cd40 ligand	1	PHASE2	0	1	NCT00001564	A Pilot Study of Tumor-Specific Peptide Vaccination and IL-2 With or Without Autologous T Cell Transplantation in Recurr
celecoxib	1	PHASE2	1	1	NCT02574728	Sirolimus in Combination With Metronomic Chemotherapy in Children With Recurrent and/or Refractory Solid and CNS Tumors
ceritinib	1	PHASE1	0	1	NCT01742286	Phase I Study of LDK378 in Pediatric, Malignancies With a Genetic Alteration in Anaplastic Lymphoma Kinase (ALK)
cetuximab	1	PHASE1	1	1	NCT06865664	FGFR4 Chimeric Antigen Receptor (CAR) T Cells in Children and Young Adults With Recurrent or Refractory Rhabdomyosarcoma
chemotherapy	1	PHASE1	0	1	NCT00002863	Cryosurgery in Treating Patients With Soft Tissue Sarcoma
chpp of cisplatin	1	PHASE1	0	1	NCT00436657	Continuous Hyperthermic Peritoneal Perfusion (CHPP) With Cisplatin for Children With Peritoneal Cancer
civ chemotherapy	1	PHASE2	1	1	NCT06816771	Evaluation of the Efficacy and Safety of Pazopanib in Combination with TGI/CIV for Recurrent or Refractory Rhabdomyosarc
clofarabine	1	PHASE2	0	1	NCT00617929	Antithymocyte Globulin, Clofarabine, and Rituximab in Treating Patients After an Unsuccessful Stem Cell Transplant
clr 131	1	PHASE1	1	1	NCT03478462	Dose Escalation Study of CLR 131 in Pediatric Relapsed/Refractory Malignant Tumors Including Neuroblastoma and Sarcomas
cobolimab	1	PHASE2	1	1	NCT06521567	A Study of Cobolimab Plus Dostarlimab in Pediatric and Young Adult Participants With Cancer
combined chemotherapy with trabectedin followed by irinotecan	1	NA	0	1	NCT02509234	Trabectedin and Irinotecan for Refractory Pediatric Sarcomas
copanlisib (bay806946)	1	PHASE2	0	1	NCT03458728	Safety, Tolerability, Efficacy and Pharmacokinetics of Copanlisib in Pediatric Patients
copper gluconate	1	PHASE1	1	1	NCT05210374	Disulfiram With Copper Gluconate and Liposomal Doxorubicin in Treatment-Refractory Sarcomas
